JOB REPORT;Varmetilforsel App
Name;"Job 29 Jan at 18:33"
Date;"29/1/2026"
WPQR;""
Preheat Temp;" °C"
Max Interpass;" °C"
Notes;""

Pass;Type;Process;Transfer;Filler Mat;Gas Type;Flow (l/min);Voltage (V);Amperage (A);Time (s);Length (mm);Energy (kJ/mm);k-Factor;Travel Spd (mm/min);Interpass (°C);Diameter (mm);Polarity;WFS (m/min);Timestamp
Pass #1;-;Submerged arc welding;-;-;-;;30,00;500,00;70,00;100,00;10,50;1,00;;;;;;18:33
Pass #2;-;Submerged arc welding;-;-;-;;30,00;500,00;80,00;100,00;12,00;1,00;;;;;;18:33
Pass #3;-;Submerged arc welding;-;-;-;;30,00;500,00;124,00;100,00;18,60;1,00;;;;;;18:33
Pass #4;-;TIG welding;-;-;-;;14,00;110,00;97,00;100,00;1,49;1,00;;;;;;18:39
Pass #5;-;TIG welding;-;-;-;;14,00;110,00;36,00;100,00;0,55;1,00;166,67;;;;;20:32
Pass #6;-;TIG welding;-;-;-;;14,00;110,00;49,00;100,00;0,45;0,60;122,45;;;;;20:49
Pass #7;-;TIG welding;-;-;-;;14,00;110,00;56,00;100,00;0,52;0,60;107,14;;;;;20:49
Pass #8;-;TIG welding;-;-;-;;14,00;110,00;54,00;100,00;0,50;0,60;111,11;;;;;20:54
Pass #9;-;TIG welding;-;-;-;;14,00;110,00;46,00;100,00;0,43;0,60;130,43;;;;;20:54
Pass #10;-;TIG welding;-;-;-;;14,00;110,00;44,00;100,00;0,41;0,60;136,36;;;;;20:57
Pass #11;-;TIG welding;-;-;-;;14,00;110,00;47,00;100,00;0,43;0,60;127,66;;;;;20:57
Pass #12;-;TIG welding;-;-;-;;14,00;110,00;51,00;100,00;0,47;0,60;117,65;;;;;21:01
Pass #13;-;TIG welding;-;-;-;;14,00;110,00;36,00;100,00;0,33;0,60;166,67;;;;;21:01
Pass #14;-;TIG welding;-;-;-;;14,00;110,00;45,00;100,00;0,42;0,60;133,33;;;;;21:02
Pass #15;-;TIG welding;-;-;-;;14,00;110,00;54,00;100,00;0,50;0,60;111,11;;;;;21:06
Pass #16;-;TIG welding;-;-;-;;14,00;110,00;65,00;100,00;0,60;0,60;92,31;;;;;21:06
Pass #17;-;TIG welding;-;-;-;;14,00;110,00;60,00;100,00;0,55;0,60;100,00;;;;;21:10
Pass #18;-;TIG welding;-;-;-;;14,00;110,00;33,00;100,00;0,30;0,60;181,82;;;;;21:13
Pass #19;-;TIG welding;-;-;-;;14,00;110,00;45,00;100,00;0,42;0,60;133,33;;;;;21:17
Pass #20;-;TIG welding;-;-;-;;14,00;110,00;42,00;100,00;0,65;1,00;142,86;;;;;21:17
